Card,Class,Rarity,Times Seen,Times Picked,Pick Rate,Wins,Win Rate
Seven Stars,regent,rare,74,31,41.89,18,58.06
Sword Sage,regent,rare,76,16,21.05,3,18.75
The Smith,regent,rare,69,20,28.99,7,35.00
Tyranny,regent,rare,73,38,52.05,21,55.26
Void Form,regent,rare,53,27,50.94,15,55.56
Afterlife,necrobinder,common,77,14,18.18,8,57.14
Blight Strike,necrobinder,common,76,11,14.47,6,54.55
Defile,necrobinder,common,84,4,4.76,2,50.00
Defy,necrobinder,common,85,32,37.65,20,62.50
Drain Power,necrobinder,common,91,17,18.68,7,41.18
Fear,necrobinder,common,90,14,15.56,7,50.00
Flatten,necrobinder,common,85,5,5.88,2,40.00
Grave Warden,necrobinder,common,84,29,34.52,17,58.62
Graveblast,necrobinder,common,89,10,11.24,7,70.00
Invoke,necrobinder,common,93,35,37.63,25,71.43
Negative Pulse,necrobinder,common,115,36,31.30,15,41.67
Poke,necrobinder,common,87,3,3.45,2,66.67
Pull Aggro,necrobinder,common,98,15,15.31,9,60.00
Reap,necrobinder,common,86,9,10.47,6,66.67
Reave,necrobinder,common,97,15,15.46,12,80.00
Scourge,necrobinder,common,83,22,26.51,12,54.55
Sculpting Strike,necrobinder,common,71,4,5.63,1,25.00
Snap,necrobinder,common,101,5,4.95,5,100.00
Sow,necrobinder,common,78,6,7.69,3,50.00
Wisp,necrobinder,common,123,38,30.89,30,78.95
Bone Shards,necrobinder,uncommon,36,5,13.89,2,40.00
Borrowed Time,necrobinder,uncommon,35,20,57.14,10,50.00
Bury,necrobinder,uncommon,32,2,6.25,2,100.00
Calcify,necrobinder,uncommon,21,0,0.00,0,0.00
Capture Spirit,necrobinder,uncommon,34,18,52.94,12,66.67
Cleanse,necrobinder,uncommon,37,15,40.54,9,60.00
Countdown,necrobinder,uncommon,35,7,20.00,3,42.86
Danse Macabre,necrobinder,uncommon,35,4,11.43,4,100.00
Death March,necrobinder,uncommon,32,9,28.12,5,55.56
Deathbringer,necrobinder,uncommon,37,14,37.84,8,57.14
Deaths Door,necrobinder,uncommon,32,6,18.75,4,66.67
Debilitate,necrobinder,uncommon,41,11,26.83,5,45.45
Delay,necrobinder,uncommon,32,15,46.88,9,60.00
Dirge,necrobinder,uncommon,37,23,62.16,10,43.48
Dredge,necrobinder,uncommon,41,8,19.51,5,62.50
Enfeebling Touch,necrobinder,uncommon,34,12,35.29,10,83.33
Fetch,necrobinder,uncommon,37,9,24.32,8,88.89
Friendship,necrobinder,uncommon,41,20,48.78,13,65.00
Haunt,necrobinder,uncommon,34,13,38.24,9,69.23
High Five,necrobinder,uncommon,35,5,14.29,3,60.00
Legion Of Bone,necrobinder,uncommon,25,11,44.00,7,63.64
Lethality,necrobinder,uncommon,38,10,26.32,7,70.00
Melancholy,necrobinder,uncommon,35,4,11.43,3,75.00
No Escape,necrobinder,uncommon,42,10,23.81,6,60.00
Pagestorm,necrobinder,uncommon,40,6,15.00,5,83.33
Parse,necrobinder,uncommon,40,12,30.00,8,66.67
Pull From Below,necrobinder,uncommon,33,8,24.24,5,62.50
Putrefy,necrobinder,uncommon,29,7,24.14,4,57.14
Rattle,necrobinder,uncommon,36,1,2.78,1,100.00
Right Hand Hand,necrobinder,uncommon,35,3,8.57,1,33.33
Severance,necrobinder,uncommon,30,13,43.33,10,76.92
Shroud,necrobinder,uncommon,36,12,33.33,7,58.33
Sic Em,necrobinder,uncommon,34,1,2.94,0,0.00
Sleight Of Flesh,necrobinder,uncommon,32,7,21.88,5,71.43
Spur,necrobinder,uncommon,34,15,44.12,7,46.67
Veilpiercer,necrobinder,uncommon,23,4,17.39,1,25.00
Banshees Cry,necrobinder,rare,11,7,63.64,5,71.43
Call Of The Void,necrobinder,rare,18,7,38.89,4,57.14
Demesne,necrobinder,rare,15,12,80.00,9,75.00
Devour Life,necrobinder,rare,19,12,63.16,9,75.00
Eidolon,necrobinder,rare,16,4,25.00,2,50.00
End Of Days,necrobinder,rare,21,5,23.81,4,80.00
Eradicate,necrobinder,rare,22,5,22.73,4,80.00
Glimpse Beyond,necrobinder,rare,14,9,64.29,8,88.89
Hang,necrobinder,rare,14,5,35.71,4,80.00
Misery,necrobinder,rare,28,13,46.43,10,76.92
Necro Mastery,necrobinder,rare,16,3,18.75,2,66.67
Neurosurge,necrobinder,rare,21,14,66.67,9,64.29
Oblivion,necrobinder,rare,23,15,65.22,12,80.00
Reanimate,necrobinder,rare,12,2,16.67,1,50.00
Reaper Form,necrobinder,rare,22,12,54.55,8,66.67
Sacrifice,necrobinder,rare,13,0,0.00,0,0.00
Seance,necrobinder,rare,19,9,47.37,7,77.78
Sentry Mode,necrobinder,rare,19,3,15.79,1,33.33
Shared Fate,necrobinder,rare,19,7,36.84,4,57.14
Soul Storm,necrobinder,rare,16,6,37.50,4,66.67
Spirit Of Ash,necrobinder,rare,26,4,15.38,2,50.00
Squeeze,necrobinder,rare,13,1,7.69,1,100.00
The Scythe,necrobinder,rare,12,7,58.33,5,71.43
Times Up,necrobinder,rare,16,5,31.25,5,100.00
Transfigure,necrobinder,rare,17,9,52.94,6,66.67
Undeath,necrobinder,rare,21,2,9.52,2,100.00
Ball Lightning,defect,common,112,22,19.64,13,59.09
Barrage,defect,common,109,17,15.60,4,23.53
Beam Cell,defect,common,97,19,19.59,7,36.84
Boost Away,defect,common,110,13,11.82,7,53.85
Charge Battery,defect,common,103,36,34.95,16,44.44
Claw,defect,common,99,17,17.17,5,29.41
Cold Snap,defect,common,108,17,15.74,8,47.06
Compile Driver,defect,common,98,16,16.33,8,50.00
Coolheaded,defect,common,122,41,33.61,22,53.66
Focused Strike,defect,common,95,23,24.21,11,47.83
Go For The Eyes,defect,common,110,20,18.18,6,30.00
Gunk Up,defect,common,102,10,9.80,4,40.00
Hologram,defect,common,115,58,50.43,34,58.62
Hotfix,defect,common,112,19,16.96,12,63.16
Leap,defect,common,104,11,10.58,2,18.18
Lightning Rod,defect,common,117,33,28.21,16,48.48
Momentum Strike,defect,common,110,11,10.00,2,18.18
Sweeping Beam,defect,common,120,14,11.67,6,42.86
Turbo,defect,common,100,31,31.00,14,45.16
Uproar,defect,common,119,0,0.00,0,0.00
Boot Sequence,defect,uncommon,42,12,28.57,7,58.33
Bulk Up,defect,uncommon,47,8,17.02,4,50.00
Capacitor,defect,uncommon,56,23,41.07,14,60.87
Chaos,defect,uncommon,42,8,19.05,4,50.00
Chill,defect,uncommon,38,11,28.95,8,72.73
Compact,defect,uncommon,40,10,25.00,7,70.00
Darkness,defect,uncommon,48,9,18.75,7,77.78
Double Energy,defect,uncommon,38,16,42.11,13,81.25
Energy Surge,defect,uncommon,24,17,70.83,7,41.18
Feral,defect,uncommon,50,15,30.00,7,46.67
Fight Through,defect,uncommon,33,4,12.12,3,75.00
Ftl,defect,uncommon,51,14,27.45,7,50.00
Fusion,defect,uncommon,34,4,11.76,3,75.00
Glacier,defect,uncommon,43,21,48.84,13,61.90
Glasswork,defect,uncommon,36,12,33.33,6,50.00
Hailstorm,defect,uncommon,47,7,14.89,4,57.14
Iteration,defect,uncommon,42,6,14.29,4,66.67
Loop,defect,uncommon,38,13,34.21,6,46.15
Null,defect,uncommon,40,9,22.50,3,33.33
Overclock,defect,uncommon,43,12,27.91,5,41.67
Refract,defect,uncommon,41,12,29.27,8,66.67
Rocket Punch,defect,uncommon,46,9,19.57,6,66.67
Scavenge,defect,uncommon,33,13,39.39,6,46.15
Scrape,defect,uncommon,39,6,15.38,0,0.00
Shadow Shield,defect,uncommon,34,8,23.53,5,62.50
Skim,defect,uncommon,58,18,31.03,10,55.56
Smokestack,defect,uncommon,28,5,17.86,4,80.00
Storm,defect,uncommon,40,16,40.00,5,31.25
Subroutine,defect,uncommon,42,16,38.10,10,62.50
Sunder,defect,uncommon,40,5,12.50,1,20.00
Synchronize,defect,uncommon,48,9,18.75,4,44.44
Synthesis,defect,uncommon,39,1,2.56,1,100.00
Tempest,defect,uncommon,39,22,56.41,14,63.64
Tesla Coil,defect,uncommon,40,6,15.00,3,50.00
Thunder,defect,uncommon,51,18,35.29,13,72.22
White Noise,defect,uncommon,39,26,66.67,12,46.15
Adaptive Strike,defect,rare,22,6,27.27,2,33.33
All For One,defect,rare,14,4,28.57,3,75.00
Buffer,defect,rare,22,6,27.27,4,66.67
Consuming Shadow,defect,rare,17,5,29.41,3,60.00
Coolant,defect,rare,19,5,26.32,4,80.00
Creative Ai,defect,rare,29,18,62.07,9,50.00
Defragment,defect,rare,20,17,85.00,11,64.71
Echo Form,defect,rare,14,12,85.71,11,91.67
Flak Cannon,defect,rare,13,3,23.08,2,66.67
Genetic Algorithm,defect,rare,17,3,17.65,2,66.67
Helix Drill,defect,rare,19,8,42.11,3,37.50
Hyperbeam,defect,rare,26,3,11.54,1,33.33
Ice Lance,defect,rare,17,10,58.82,8,80.00
Ignition,defect,rare,15,5,33.33,4,80.00
Machine Learning,defect,rare,24,7,29.17,6,85.71
Meteor Strike,defect,rare,15,2,13.33,2,100.00
Modded,defect,rare,20,13,65.00,6,46.15
Multi Cast,defect,rare,20,6,30.00,5,83.33
Rainbow,defect,rare,22,3,13.64,2,66.67
Reboot,defect,rare,26,13,50.00,7,53.85
Shatter,defect,rare,10,5,50.00,1,20.00
Signal Boost,defect,rare,21,3,14.29,2,66.67
Spinner,defect,rare,20,10,50.00,6,60.00
Supercritical,defect,rare,33,14,42.42,11,78.57
Trash To Treasure,defect,rare,12,2,16.67,1,50.00
Voltaic,defect,rare,19,10,52.63,7,70.00
Automation,colorless,uncommon,29,1,3.45,1,100.00
Believe In You,colorless,uncommon,8,4,50.00,4,100.00
Catastrophe,colorless,uncommon,33,0,0.00,0,0.00
Coordinate,colorless,uncommon,14,0,0.00,0,0.00
Dark Shackles,colorless,uncommon,32,4,12.50,3,75.00
Discovery,colorless,uncommon,22,2,9.09,0,0.00
Dramatic Entrance,colorless,uncommon,34,5,14.71,1,20.00
Equilibrium,colorless,uncommon,36,3,8.33,2,66.67
Fasten,colorless,uncommon,33,3,9.09,2,66.67
Finesse,colorless,uncommon,18,3,16.67,1,33.33
Fisticuffs,colorless,uncommon,21,2,9.52,1,50.00
Flash Of Steel,colorless,uncommon,25,6,24.00,4,66.67
Gang Up,colorless,uncommon,13,2,15.38,0,0.00
Huddle Up,colorless,uncommon,14,5,35.71,3,60.00
Impatience,colorless,uncommon,31,0,0.00,0,0.00
Intercept,colorless,uncommon,16,0,0.00,0,0.00
Jack Of All Trades,colorless,uncommon,30,0,0.00,0,0.00
Lift,colorless,uncommon,19,2,10.53,1,50.00
Mind Blast,colorless,uncommon,36,0,0.00,0,0.00
